name,latitude_deg,longitude_deg,departures
Joshua Mqabuko Nkomo International Airport,-20.017401,28.617901,640.0
Mohamed Boudiaf International Airport,36.2760009765625,6.620389938354492,580.0
Nampula Airport,-15.105600357055664,39.28179931640625,692.0
Fascene Airport,-13.3121,48.3148,347.0
Rabil Airport,16.136499404907227,-22.888900756835938,688.0
Richards Bay Airport,-28.740999221800003,32.0920982361,473.0
Yaoundé Nsimalen International Airport,3.722559928894043,11.553299903869627,1932.0
Malindi Airport,-3.2293100357055664,40.10169982910156,783.0
Sishen Airport,-27.6486,22.9993,427.0
Arba Minch Airport,6.03939,37.5905,454.0
Osvaldo Vieira International Airport,11.894800186157228,-15.65369987487793,387.0
Cabinda Airport,-5.59699010848999,12.188400268554688,563.0
Cap Skirring Airport,12.39533,-16.748,133.0
Dakhla Airport,23.7183,-15.932,397.0
Inhambane Airport,-23.8764,35.408501,106.0
Kisumu Airport,-0.0861390009522438,34.72890090942383,2264.0
Margate Airport,-30.8574008942,30.343000412,88.0
Ouarzazate Airport,30.9391002655,-6.909430027010001,207.0
Port Gentil Airport,-0.7117390036582947,8.754380226135254,80.0
Essaouira-Mogador Airport,31.397499,-9.68167,72.0
Plettenberg Bay Airport,-34.08816,23.328723,165.0
Nador Al Aaroui International Airport,34.9888,-3.02821,492.0
Cherif Al Idrissi Airport,35.177101135253906,-3.83951997756958,182.0
Bahir Dar Airport,11.6081,37.321602,2805.0
Bata Airport,1.90547,9.80568,453.0
Benin Airport,6.316979885101318,5.599500179290772,184.0
Moulay Ali Cherif Airport,31.9475002289,-4.39833021164,186.0
Egal International Airport,9.513207,44.082389,567.0
Nova Lisboa Airport,-12.808899879455566,15.760499954223633,54.0
Kumasi Airport,6.714560031890869,-1.5908199548721311,909.0
Lubango Airport,-14.924699783325195,13.574999809265137,107.0
Melilla Airport,35.2798,-2.95626,1123.0
K. D. Matanzima Airport,-31.5463631849,28.6733551025,559.0
Sir Charles Gaetan Duval Airport,-19.7577,63.361,853.0
Nanyuki Airport,-0.062399,37.041008,1861.0
Kismayo Airport,-0.377353,42.459202,80.0
La Gomera Airport,28.0296,-17.2146,424.0
Lalibella Airport,11.975000381469728,38.97999954223633,374.0
Asyut International Airport,27.050818,31.016309,321.0
Biskra - Mohamed Khider Airport,34.793301,5.73823,75.0
Bouaké Airport,7.7388,-5.07367,107.0
Chimoio Airport,-19.15130043029785,33.42900085449219,185.0
El Hierro Airport,27.8148,-17.8871,1169.0
P G Matante Intl,-21.15914,27.468545,133.0
Kaduna Airport,10.696000099182127,7.320109844207764,187.0
Maiduguri International Airport,11.855299949645996,13.080900192260742,455.0
Salak Airport,10.45139980316162,14.257399559020996,53.0
Welwitschia Mirabilis International Airport,-15.2612,12.1468,107.0
Mwanza Airport,-2.4444899559021,32.932701110839844,1909.0
Principe Airport,1.66294,7.41174,141.0
Tamale Airport,9.55718994140625,-0.8632140159606934,455.0
Tan Tan Airport,28.44820022583008,-11.161299705505373,134.0
Alula Aba Nega Airport,13.4674,39.533501,989.0
Sania Ramel Airport,35.594299,-5.32002,181.0
Pemba Airport,-5.25726,39.811401,558.0
Bosaso / Bender Qassim International Airport,11.275235,49.139231,108.0
Kigoma Airport,-4.8862,29.6709,142.0
Seronera Airport,-2.45806,34.822498,3958.0
Arrachart Airport,-12.3494,49.291698,138.0
Soummam–Abane Ramdane Airport,36.711952,5.069804,135.0
Garoua International Airport,9.33588981628418,13.370100021362305,27.0
Manda Airport,-2.252431,40.912892,719.0
Lichinga Airport,-13.274,35.2663,106.0
Mtwara Airport,-10.336204,40.181997,135.0
Ouani Airport,-12.131047,44.430044,107.0
Quelimane Airport,-17.855499267578125,36.86909866333008,186.0
Toliara Airport,-23.3834,43.7285,117.0
Amboseli Airport,-2.645050048828125,37.25310134887695,803.0
Dodoma Airport,-6.17044,35.752602,392.0
Nouadhibou International Airport,20.9330997467041,-17.030000686645508,157.0
São Pedro Airport,16.8332,-25.0553,292.0
Akwa Ibom International Airport,4.8725,8.093,1070.0
San Pedro Airport,4.74672,-6.66082,214.0
Korhogo Airport,9.38718,-5.55666,187.0
Luena Airport,-11.7681,19.897699,107.0
Iringa Airport,-7.66863,35.752102,240.0
Semera Airport,11.7875,40.9915,374.0
Londolozi Airport,-24.7478,31.4743,372.0
Asosa Airport,10.018500328063965,34.586299896240234,641.0
Batna Mostefa Ben Boulaid Airport,35.752102,6.30859,54.0
Margaret Ekpo International Airport,4.976019859313965,8.347200393676758,374.0
Akanu Ibiam International Airport,6.474269866943359,7.561960220336914,798.0
Gambela Airport,8.12876,34.563099,454.0
Gode Airport,5.93513011932,43.5786018372,187.0
Ilorin International Airport,8.440210342407227,4.493919849395752,104.0
Jimma Airport,7.66609001159668,36.81660079956055,561.0
Kamembe Airport,-2.462239980697632,28.907899856567383,187.0
Amborovy Airport,-15.666842,46.351233,172.0
Morondava Airport,-20.2847,44.3176,25.0
N'Gaoundéré Airport,7.357009887695312,13.559200286865234,133.0
Pierrefonds Airport,-21.319362,55.422506,53.0
Sambava Airport,-14.2786,50.174702,77.0
Sfax Thyna International Airport,34.71799850463867,10.690999984741213,121.0
Sadiq Abubakar III International Airport,12.916299819946287,5.207190036773682,187.0
Sainte Marie Airport,-17.093901,49.8158,31.0
Yola Airport,9.257550239562988,12.430399894714355,187.0
Zenata – Messali El Hadj Airport,35.013426,-1.457191,64.0
Ziguinchor Airport,12.5556,-16.281799,481.0
Kebri Dahar Airport,6.732577,44.241339,54.0
Ain Arnat Airport,36.178100585900005,5.32449007034,222.0
Sunyani Airport,7.36183,-2.32876,160.0
Zagora Airport,30.263858,-5.853341,79.0
Man Airport,7.27207,-7.58736,80.0
Lake Manyara Airport,-3.37631,35.818298,5233.0
Bukoba Airport,-1.332,31.8212,384.0
Galcaio Airport,6.78082990646,47.45470047,53.0
Nacala Airport,-14.4882,40.7122,134.0
Mafia Airport,-7.917478,39.668502,558.0
Jinja Airport,0.453094,33.19356,558.0
Bobo Dioulasso Airport,11.160099983215332,-4.33096981048584,189.0
Guemar Airport,33.5113983154,6.77679014206,27.0
Maroantsetra Airport,-15.437742,49.689081,13.0
Ngjiva Pereira Airport,-17.0435009003,15.683799743700002,53.0
Oranjemund Airport,-28.5847,16.446699,40.0
Tanga Airport,-5.09236,39.071201,372.0
Yakubu Gowon Airport,9.639829635620115,8.869050025939941,81.0
Akure Airport,7.246739864349365,5.3010101318359375,104.0
Sam Mbakwe International Airport,5.427060127258301,7.206029891967773,430.0
Arua Airport,3.049152,30.911714,53.0
Hawassa International Airport,7.099869,38.396187,748.0
Bafoussam Airport,5.536920070650001,10.3545999527,80.0
Kitale Airport,0.971989,34.958599,187.0
Saurimo Airport,-9.68907,20.4319,107.0
Samburu Airport,0.534069,37.531991,1302.0
Tabora Airport,-5.07639,32.833302,54.0
Kombolcha Airport,11.10992,39.72353,1122.0
Garissa Airport,-0.463508,39.6483,134.0
Robe Airport,7.119033,40.045166,107.0
Kasese Airport,0.183,30.1,870.0
Mandera Airport,3.934045,41.844437,53.0
Mbarara Airport,-0.555278,30.5994,1057.0
Odienne Airport,9.539457,-7.56134,80.0
Kabalega Falls Airport,2.326563,31.497698,1011.0
